especie,ultimo,variacion,anterior,apertura,minimo,maximo,varMTD,varYTD,var6M,var12M,fecha,hora,cierre,timestamp,volumen
DOLAR OFICIAL,41.95,,,41.95,41.95,41.95,,,,,2018-09-28,,41.95,1538103600,0
DOLAR OFICIAL,40.5,,,40.5,40.5,40.5,,,,,2018-10-01,,40.5,1538362800,0
DOLAR OFICIAL,39,,,39,39,39,,,,,2018-10-02,,39,1538449200,0
DOLAR OFICIAL,38.6,,,38.6,38.6,38.6,,,,,2018-10-03,,38.6,1538535600,0
DOLAR OFICIAL,39.2,,,39.2,39.2,39.2,,,,,2018-10-04,,39.2,1538622000,0
DOLAR OFICIAL,38.7,,,38.7,38.7,38.7,,,,,2018-10-05,,38.7,1538708400,0
DOLAR OFICIAL,38.7,,,38.7,38.7,38.7,,,,,2018-10-06,,38.7,1538794800,0
DOLAR OFICIAL,38.7,,,38.7,38.7,38.7,,,,,2018-10-07,,38.7,1538881200,0
DOLAR OFICIAL,38.4,,,38.4,38.4,38.4,,,,,2018-10-08,,38.4,1538967600,0
DOLAR OFICIAL,38,,,38,38,38,,,,,2018-10-09,,38,1539054000,0
DOLAR OFICIAL,38.1,,,38.1,38.1,38.1,,,,,2018-10-10,,38.1,1539140400,0
DOLAR OFICIAL,37.5,,,37.5,37.5,37.5,,,,,2018-10-11,,37.5,1539226800,0
DOLAR OFICIAL,37.6,,,37.6,37.6,37.6,,,,,2018-10-12,,37.6,1539313200,0
DOLAR OFICIAL,37.6,,,37.6,37.6,37.6,,,,,2018-10-13,,37.6,1539399600,0
DOLAR OFICIAL,37.6,,,37.6,37.6,37.6,,,,,2018-10-14,,37.6,1539486000,0
DOLAR OFICIAL,37.6,,,37.6,37.6,37.6,,,,,2018-10-15,,37.6,1539572400,0
DOLAR OFICIAL,36.9,,,36.9,36.9,36.9,,,,,2018-10-16,,36.9,1539658800,0
DOLAR OFICIAL,37.1,,,37.1,37.1,37.1,,,,,2018-10-17,,37.1,1539745200,0
DOLAR OFICIAL,37.5,,,37.5,37.5,37.5,,,,,2018-10-18,,37.5,1539831600,0
DOLAR OFICIAL,37.5,,,37.5,37.5,37.5,,,,,2018-10-19,,37.5,1539918000,0
DOLAR OFICIAL,37.3,,,37.3,37.3,37.3,,,,,2018-10-22,,37.3,1540177200,0
DOLAR OFICIAL,37.5,,,37.5,37.5,37.5,,,,,2018-10-23,,37.5,1540263600,0
DOLAR OFICIAL,37.9,,,37.9,37.9,37.9,,,,,2018-10-24,,37.9,1540350000,0
DOLAR OFICIAL,37.7,,,37.7,37.7,37.7,,,,,2018-10-25,,37.7,1540436400,0
DOLAR OFICIAL,37.8,,,37.8,37.8,37.8,,,,,2018-10-26,,37.8,1540522800,0
DOLAR OFICIAL,37.8,,,37.8,37.8,37.8,,,,,2018-10-27,,37.8,1540609200,0
DOLAR OFICIAL,37.8,,,37.8,37.8,37.8,,,,,2018-10-28,,37.8,1540695600,0
DOLAR OFICIAL,37.8,,,37.8,37.8,37.8,,,,,2018-10-29,,37.8,1540782000,0
DOLAR OFICIAL,37.6,,,37.6,37.6,37.6,,,,,2018-10-30,,37.6,1540868400,0
DOLAR OFICIAL,36.8,,,36.8,36.8,36.8,,,,,2018-10-31,,36.8,1540954800,0
DOLAR OFICIAL,36.6,0,0,36.6,36.6,36.6,,,,,2018-11-01,19:59,36.6,1541041200,0
DOLAR OFICIAL,36.4,0,0,36.4,36.4,36.4,,,,,2018-11-02,19:59,36.4,1541127600,0
DOLAR OFICIAL,36.4,0,0,36.4,36.4,36.4,,,,,2018-11-03,19:59,36.4,1541214000,0
DOLAR OFICIAL,36.4,0,0,36.4,36.4,36.4,,,,,2018-11-04,19:59,36.4,1541300400,0
DOLAR OFICIAL,36.4,0,0,36.4,36.4,36.4,,,,,2018-11-05,19:59,36.4,1541386800,0
DOLAR OFICIAL,36.4,0,0,36.4,36.4,36.4,,,,,2018-11-06,19:59,36.4,1541473200,0
DOLAR OFICIAL,36.6,0,0,36.6,36.6,36.6,,,,,2018-11-07,19:59,36.6,1541559600,0
DOLAR OFICIAL,36.6,0,0,36.6,36.6,36.6,,,,,2018-11-08,19:59,36.6,1541646000,0
DOLAR OFICIAL,36.6,0,0,36.6,36.6,36.6,,,,,2018-11-09,19:59,36.6,1541732400,0
DOLAR OFICIAL,36.6,0,0,36.6,36.6,36.6,,,,,2018-11-10,19:59,36.6,1541818800,0
DOLAR OFICIAL,36.6,0,0,36.6,36.6,36.6,,,,,2018-11-11,19:59,36.6,1541905200,0
DOLAR OFICIAL,36.5,0,0,36.5,36.5,36.5,,,,,2018-11-12,19:59,36.5,1541991600,0
DOLAR OFICIAL,36.9,0,0,36.9,36.9,36.9,,,,,2018-11-13,19:59,36.9,1542078000,0
DOLAR OFICIAL,36.9,0,0,36.9,36.9,36.9,,,,,2018-11-14,19:59,36.9,1542164400,0
