especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
DIA_US,1998-01-20,77.8125,78.8438,77.4062,78.8125,1743200,885265200
DIA_US,1998-01-21,78.0938,78.375,77.2812,77.8438,1839600,885351600
DIA_US,1998-01-22,77.1875,77.8594,76.9375,77.1875,1662600,885438000
DIA_US,1998-01-23,77.5,77.75,76.3125,77,1693700,885524400
DIA_US,1998-01-26,77.375,77.6719,76.9375,77.3125,1172800,885783600
DIA_US,1998-01-27,77.125,78.5625,77.0781,78.2188,1454500,885870000
DIA_US,1998-01-28,78.375,79.2344,78.2188,79.125,1181200,885956400
DIA_US,1998-01-29,79.0625,80.25,78.8906,79.4062,1468500,886042800
DIA_US,1998-01-30,79.9375,79.9375,78.9688,79.2344,1095600,886129200
DIA_US,1998-02-02,80.625,81.3125,80.4062,81.0156,955600,886388400
DIA_US,1998-02-03,81,81.6719,80.6562,81.6562,619400,886474800
DIA_US,1998-02-04,81.2188,81.6562,80.8125,81.2188,753200,886561200
DIA_US,1998-02-05,81.8125,81.9062,80.7344,81.2344,1067600,886647600
DIA_US,1998-02-06,81.5,82.1719,81.3594,82.1094,1069700,886734000
DIA_US,1998-02-09,82.0938,82.25,81.4375,81.7812,515900,886993200
DIA_US,1998-02-10,82.0312,83.3438,81.9219,83.1562,892100,887079600
DIA_US,1998-02-11,82.9688,83.3906,82.8438,83.1562,515000,887166000
DIA_US,1998-02-12,82.7344,84.1094,82.375,83.6875,1065000,887252400
DIA_US,1998-02-13,83.3438,83.8438,83.1719,83.6406,596700,887338800
DIA_US,1998-02-17,84.3125,84.7188,83.8906,84.0625,840600,887684400
DIA_US,1998-02-18,84.0781,84.7031,83.8438,84.625,773000,887770800
DIA_US,1998-02-19,84.6406,84.7031,83.8281,83.8281,804800,887857200
DIA_US,1998-02-20,84.0781,84.4688,83.3125,84.2812,540600,887943600
DIA_US,1998-02-23,85,85,83.9688,84.25,639200,888202800
DIA_US,1998-02-24,84.125,84.4062,83.5312,84,702700,888289200
DIA_US,1998-02-25,84.25,85.1562,84.0781,84.6875,687400,888375600
DIA_US,1998-02-26,84.6094,85.2188,84.4062,85.1562,439800,888462000
DIA_US,1998-02-27,85.1094,85.9531,84.8906,85.5938,451300,888548400
DIA_US,1998-03-02,85.75,85.8594,85.2812,85.7188,1062800,888807600
DIA_US,1998-03-03,85.2188,86.125,85.1875,86.1094,596600,888894000
DIA_US,1998-03-04,85.625,85.875,85.1094,85.5312,691700,888980400
DIA_US,1998-03-05,84.5,85.2656,84.2188,84.7812,778300,889066800
DIA_US,1998-03-06,85.0938,86.0312,85.0938,86.0312,933100,889153200
DIA_US,1998-03-09,85.625,86.5781,85.5938,85.875,685300,889412400
DIA_US,1998-03-10,86.375,86.75,86.1562,86.7188,563700,889498800
DIA_US,1998-03-11,86.9375,87.2344,86.7344,87,406600,889585200
DIA_US,1998-03-12,86.9375,87.0625,86.3125,86.8906,576700,889671600
DIA_US,1998-03-13,87.1875,87.25,86.0938,86.1562,458900,889758000
DIA_US,1998-03-16,86.5625,87.4688,86.3438,87.4688,733000,890017200
DIA_US,1998-03-17,87.2812,87.7812,87.0781,87.7656,499900,890103600
DIA_US,1998-03-18,87.5938,88.0156,87.2812,87.9844,410900,890190000
DIA_US,1998-03-19,88,88.2969,87.8438,88.2344,730000,890276400
DIA_US,1998-03-20,88.5625,89.4062,88.2812,89.1562,754300,890362800
DIA_US,1998-03-23,89.1875,89.1875,88.3906,88.4844,551600,890622000
DIA_US,1998-03-24,88.9688,89.8594,88.9219,89.4375,470300,890708400
DIA_US,1998-03-25,90.0625,90.0625,88.25,88.875,966200,890794800
DIA_US,1998-03-26,88.8438,89.2969,88.5156,88.625,412800,890881200
DIA_US,1998-03-27,89.3438,89.4062,87.875,88.2656,584100,890967600
DIA_US,1998-03-30,88.2812,88.5625,87.6875,88.1562,562400,891226800
DIA_US,1998-03-31,88.4688,89.3125,88.0625,88.1875,620000,891313200
DIA_US,1998-04-01,88.3594,89.2031,87.7188,88.9375,373700,891399600
DIA_US,1998-04-02,88.9062,90.25,88.8281,90.1562,440600,891486000
DIA_US,1998-04-03,90.25,90.5781,89.8125,90.0938,493300,891572400
DIA_US,1998-04-06,90.875,91.25,90.3438,90.375,610500,891831600
DIA_US,1998-04-07,90.375,90.3906,89.25,89.8906,707300,891918000
DIA_US,1998-04-08,90.0625,90.0625,88.8281,89.2812,949500,892004400
DIA_US,1998-04-09,89.6562,90.4688,89.625,90.375,451700,892090800
DIA_US,1998-04-13,90.7344,90.7344,89.5625,90.3438,337900,892436400
DIA_US,1998-04-14,90.5312,91.5156,90.5312,91.4375,451500,892522800
DIA_US,1998-04-15,91.6562,92.0156,91.2031,92.0156,261800,892609200
DIA_US,1998-04-16,91.7031,91.7031,90.7969,91.0625,232800,892695600
DIA_US,1998-04-17,90.7344,91.75,90.5781,91.7031,382900,892782000
DIA_US,1998-04-20,91.5938,91.6562,91,91.2969,299400,893041200
DIA_US,1998-04-21,91.25,91.9219,90.9688,91.9062,372000,893127600
DIA_US,1998-04-22,91.8594,92.1094,91.6875,91.8438,503400,893214000
DIA_US,1998-04-23,91.7188,92.0312,91.1094,91.3125,597700,893300400
DIA_US,1998-04-24,91.2188,91.5625,90.0625,90.5469,820200,893386800
DIA_US,1998-04-27,89.875,89.875,88.3906,89.25,1916800,893646000
DIA_US,1998-04-28,90.0312,90.125,88.6562,88.9844,437200,893732400
DIA_US,1998-04-29,89.2812,89.9531,88.9219,89.4219,298700,893818800
DIA_US,1998-04-30,90.3281,91.3125,90.2188,90.875,443100,893905200
DIA_US,1998-05-01,91.0938,91.6562,90.8125,91.6562,338300,893991600
DIA_US,1998-05-04,91.9844,92.5781,91.8125,91.8125,542500,894250800
DIA_US,1998-05-05,91.5,91.8594,90.9688,91.4844,325600,894337200
DIA_US,1998-05-06,91.8438,91.8594,90.2812,90.2812,665500,894423600
DIA_US,1998-05-07,90.625,90.625,89.7188,89.7344,593100,894510000
DIA_US,1998-05-08,89.75,90.9844,89.6875,90.9375,638100,894596400
DIA_US,1998-05-11,91.2812,91.8438,90.6875,90.9219,703100,894855600
DIA_US,1998-05-12,90.9062,91.9219,90.6094,91.9219,479000,894942000
DIA_US,1998-05-13,91.9062,92.3594,91.625,92.25,399400,895028400
