SIMBOLO,FECHA,VENCIMIENTO,TIPO DE SERIE,CIERRE,APERTURA,MAXIMO,MINIMO,PRECIO PROMEDIO,VOLUMEN NOMINAL,MONTO NEGOCIADO,CANTIDAD DE OPERACIONES
AGRO,2024-01-26,48 hs.,Homogenea,"66,1",71,"72,9",62,"66,83",3980797,266035386,2262
YPFDD,2024-01-26,48 hs.,Homogenea,"18,45","18,5","18,6","17,3","18,238",3018,55043,120
BHIP,2024-01-26,48 hs.,Homogenea,"238,75",235,258,230,"240,083",1273752,305806584,1246
BOLT,2024-01-26,48 hs.,Homogenea,"77,8","89,9","104,5",75,"91,085",5346122,486951411,2619
BPAT,2024-01-26,48 hs.,Homogenea,"898,5",950,979,888,"904,402",23169,20954096,209
CADO,2024-01-26,48 hs.,Homogenea,640,"645,5","645,5",630,"639,558",12752,8155642,66
CAPX,2024-01-26,48 hs.,Homogenea,"6227,5",6420,6450,6100,"6319,839",2470,15610002,90
CARC,2024-01-26,48 hs.,Homogenea,"30,35","31,95","34,8",28,"31,393",4467084,140236464,1118
CECO2,2024-01-26,48 hs.,Homogenea,462,"452,5",475,423,"455,855",2107269,960609683,1344
CELU,2024-01-26,48 hs.,Homogenea,"818,5",800,861,771,"816,079","55651,93",45416362,260
CGPA2,2024-01-26,48 hs.,Homogenea,"2046,5",2198,2198,2010,"2069,461",21520,44534792,269
CTIO,2024-01-26,48 hs.,Homogenea,"1967,5",1918,1980,1841,"1944,087",4336,8429560,90
CVH,2024-01-26,48 hs.,Homogenea,4910,4905,4975,4861,"4902,695",14800,72559889,323
DGCU2,2024-01-26,48 hs.,Homogenea,1217,1223,1231,1135,"1183,251",157071,185854457,753
DOME,2024-01-26,48 hs.,Homogenea,"90,7",55,98,55,"81,791",138328,11314015,92
DYCA,2024-01-26,48 hs.,Homogenea,"557,5",561,595,499,"535,889",31672,16972691,155
FERR,2024-01-26,48 hs.,Homogenea,"114,5",122,123,107,"115,228",145806,16800896,223
FIPL,2024-01-26,48 hs.,Homogenea,"225,5","231,5",243,216,"233,175",218116,50859267,175
GAMI,2024-01-26,48 hs.,Homogenea,277,314,333,272,"292,697",339958,99504519,760
GARO,2024-01-26,48 hs.,Homogenea,209,"204,5",214,203,"208,754",15802,3298726,59
GBAN,2024-01-26,48 hs.,Homogenea,"1296,5",1335,1335,1270,"1304,445",2955,3854635,48
GCDI,2024-01-26,48 hs.,Homogenea,"35,3",38,39,"33,8","35,742",1476387,52769163,518
GCLA,2024-01-26,48 hs.,Homogenea,1647,"1700,5",1717,1602,"1639,286",49129,80536476,121
GGALD,2024-01-26,48 hs.,Homogenea,"2,25","2,25","2,25","2,1","2,152",10787,23211,57
GRIM,2024-01-26,48 hs.,Homogenea,995,950,995,950,"990,419",1768,1751060,28
HARG,2024-01-26,48 hs.,Homogenea,"1673,5",1725,1725,1645,"1670,78",21499,35920106,288
HAVA,2024-01-26,48 hs.,Homogenea,"8107,5",9223,9300,8050,"8477,28",19470,165052634,952
INTR,2024-01-26,48 hs.,Homogenea,"284,5","285,5",333,279,"307,689",95767,29466482,234
INVJ,2024-01-26,48 hs.,Homogenea,"570,5","599,5",607,565,"576,695",85772,49464285,394
IRSA,2024-01-26,48 hs.,Homogenea,"1095,9",1170,1200,"1087,3","1108,514",100131,110996591,679
LEDE,2024-01-26,48 hs.,Homogenea,"1046,5",1097,1097,950,"1018,633",112827,114929336,516
LONG,2024-01-26,48 hs.,Homogenea,71,78,90,"68,2","77,244",1447106,111780177,999
METR,2024-01-26,48 hs.,Homogenea,1097,1150,1185,1070,"1124,622",84199,94692018,509
MOLA,2024-01-26,48 hs.,Homogenea,24589,24900,25330,23031,"24488,327",1092,26741254,202
MOLI,2024-01-26,48 hs.,Homogenea,4331,4780,4879,4201,"4471,61",26132,116852114,740
MORI,2024-01-26,48 hs.,Homogenea,"143,5",148,160,"138,5","146,463",882227,129213595,1091
MTR,2024-01-26,48 hs.,Homogenea,1564,1586,1586,1477,"1534,966",2644,4058451,55
OEST,2024-01-26,48 hs.,Homogenea,"1133,5",1240,1249,1118,"1166,701",25018,29188515,184
