SIMBOLO,FECHA,VENCIMIENTO,TIPO DE SERIE,CIERRE,APERTURA,MAXIMO,MINIMO,PRECIO PROMEDIO,VOLUMEN NOMINAL,MONTO NEGOCIADO,CANTIDAD DE OPERACIONES
SUPV,2023-12-27,48 hs.,Homogenea,"778,8","810,5","844,9","769,65","788,789",337442,266170595,1455
TECO2,2023-12-27,48 hs.,Homogenea,"1327,55",1445,1461,"1299,35","1362,485",154861,210995744,1063
TGNO4,2023-12-27,48 hs.,Homogenea,1614,1710,1711,1565,"1631,885",132245,215808643,1523
TGSU2,2023-12-27,48 hs.,Homogenea,"2747,2",2900,2940,2730,"2799,904",295949,828628827,1722
TRAN,2023-12-27,48 hs.,Homogenea,1141,1130,1180,1122,"1144,011",445933,510152432,1176
TXAR,2023-12-27,48 hs.,Homogenea,769,813,813,747,"775,571",1540861,1195046928,4449
VALO,2023-12-27,48 hs.,Homogenea,"213,5","223,5",226,213,"219,949",498344,109610007,1194
YPFD,2023-12-27,48 hs.,Homogenea,"15696,85",16425,16425,15650,"16008,24",310641,4972815525,5095
ALUA,2023-12-27,48 hs.,Homogenea,840,890,915,828,"857,238",1469962,1260107275,5830
BBAR,2023-12-27,48 hs.,Homogenea,"1739,45",1794,1835,1733,"1781,392",275909,491502003,1270
BMA,2023-12-27,48 hs.,Homogenea,"2553,2","2726,45",2780,2530,"2630,242",257972,678528781,1348
BYMA,2023-12-27,48 hs.,Homogenea,"817,5",875,895,809,"853,26",382965,326768518,1253
CEPU,2023-12-27,48 hs.,Homogenea,"820,4",918,918,802,"852,542",710735,605931379,2706
COME,2023-12-27,48 hs.,Homogenea,"70,05",73,"73,8","68,6","70,908",2543683,180366208,3038
CRES,2023-12-27,48 hs.,Homogenea,"848,9",900,931,840,"879,525",786073,691371011,2399
EDN,2023-12-27,48 hs.,Homogenea,"892,75",952,952,880,"902,09",164935,148786250,1895
GGAL,2023-12-27,48 hs.,Homogenea,"1600,35",1680,"1711,2","1526,5","1656,005",1789277,2963052336,3250
LOMA,2023-12-27,48 hs.,Homogenea,"1304,4",1270,"1333,5",1261,"1312,581",356137,467458639,1831
MIRG,2023-12-27,48 hs.,Homogenea,10213,10507,10507,10050,"10155,698","6217,2",63140007,538
PAMP,2023-12-27,48 hs.,Homogenea,"1826,1","1881,5",1917,"1786,5","1849,679",519151,960262852,4424
TECO2,2023-12-26,48 hs.,Homogenea,"1432,85",1520,1537,1422,"1466,346",201058,"294820555,35",936
SUPV,2023-12-26,48 hs.,Homogenea,"815,6",860,908,"787,3","815,584",542161,"442177674,1",2545
TGSU2,2023-12-26,48 hs.,Homogenea,"2869,8",2955,3057,"2824,65","2880,3",394168,"1135322054,15",2311
TRAN,2023-12-26,48 hs.,Homogenea,1166,1200,1204,1142,"1175,754",247931,"291505837,5",1497
TXAR,2023-12-26,48 hs.,Homogenea,800,845,855,"788,5","802,576",1529530,1227563702,5017
VALO,2023-12-26,48 hs.,Homogenea,"223,5","226,75",229,223,"226,144",251150,56796112,1592
YPFD,2023-12-26,48 hs.,Homogenea,"16425,15",16800,17000,"16269,65","16579,602",244149,"4047893356,05",5254
ALUA,2023-12-26,48 hs.,Homogenea,887,940,941,870,"903,17",1395986,"1260812405,5",6211
BBAR,2023-12-26,48 hs.,Homogenea,"1786,15",1886,1886,1743,"1799,806",107575,"193614100,45",1345
